#  Space group look-up table taken from R. Grosse Kunstleve web-site
#  Modified LJF - Jan 1998
#
# No.   Schoenflies <------ Hermann-Mauguin -----> Hall           Mult
#    set
   1        C1^1    P1                  P 1         P 1             1
   2        Ci^1    P-1                 P -1       -P 1             2
   3:b      C2^1    P2:b = P121         P 2         P 2y            2
   3:c      C2^1    P2:c = P112         P 1 1 2     P 2             2
   3:a      C2^1    P2:a = P211         P 2 1 1     P 2x            2
   4:b      C2^2    P21:b = P1211       P 21        P 2yb           2
   4:c      C2^2    P21:c = P1121       P 1 1 21    P 2c            2
   4:a      C2^2    P21:a = P2111       P 21 1 1    P 2xa           2
   5:b1     C2^3    C2:b1 = C121        C 2         C 2y            4
   5:b2     C2^3    A2:b2 = A121        A 2         A 2y            4
   5:b3     C2^3    I2:b3 = I121        I 2         I 2y            4
   5:c1     C2^3    A2:c1 = A112        A 1 1 2     A 2             4
   5:c2     C2^3    B2:c2 = B112        B 1 1 2     B 2             4
   5:c3     C2^3    I2:c3 = I112        I 1 1 2     I 2             4
   5:a1     C2^3    B2:a1 = B211        B 2 1 1     B 2x            4
   5:a2     C2^3    C2:a2 = C211        C 2 1 1     C 2x            4
   5:a3     C2^3    I2:a3 = I211        I 2 1 1     I 2x            4
   6:b      Cs^1    Pm:b = P1m1         P m         P -2y           2
   6:c      Cs^1    Pm:c = P11m         P 1 1 m     P -2            2
   6:a      Cs^1    Pm:a = Pm11         P m 1 1     P -2x           2
   7:b1     Cs^2    Pc:b1 = P1c1        P c         P -2yc          2
   7:b2     Cs^2    Pn:b2 = P1n1        P n         P -2yac         2
   7:b3     Cs^2    Pa:b3 = P1a1        P a         P -2ya          2
   7:c1     Cs^2    Pa:c1 = P11a        P 1 1 a     P -2a           2
   7:c2     Cs^2    Pn:c2 = P11n        P 1 1 n     P -2ab          2
   7:c3     Cs^2    Pb:c3 = P11b        P 1 1 b     P -2b           2
   7:a1     Cs^2    Pb:a1 = Pb11        P b 1 1     P -2xb          2
   7:a2     Cs^2    Pn:a2 = Pn11        P n 1 1     P -2xbc         2
   7:a3     Cs^2    Pc:a3 = Pc11        P c 1 1     P -2xc          2
   8:b1     Cs^3    Cm:b1 = C1m1        C m         C -2y           4
   8:b2     Cs^3    Am:b2 = A1m1        A m         A -2y           4
   8:b3     Cs^3    Im:b3 = I1m1        I m         I -2y           4
   8:c1     Cs^3    Am:c1 = A11m        A 1 1 m     A -2            4
   8:c2     Cs^3    Bm:c2 = B11m        B 1 1 m     B -2            4
   8:c3     Cs^3    Im:c3 = I11m        I 1 1 m     I -2            4
   8:a1     Cs^3    Bm:a1 = Bm11        B m 1 1     B -2x           4
   8:a2     Cs^3    Cm:a2 = Cm11        C m 1 1     C -2x           4
   8:a3     Cs^3    Im:a3 = Im11        I m 1 1     I -2x           4
   9:b1     Cs^4    Cc:b1 = C1c1        C c         C -2yc          4
   9:b2     Cs^4    An:b2 = A1n1        A n         A -2yac         4
   9:b3     Cs^4    Ia:b3 = I1a1        I a         I -2ya          4
   9:-b1    Cs^4    Aa:-b1 = A1a1       A a         A -2ya          4
   9:-b2    Cs^4    Cn:-b2 = C1n1       C n         C -2ybc         4
   9:-b3    Cs^4    Ic:-b3 = I1c1       I c         I -2yc          4
   9:c1     Cs^4    Aa:c1 = A11a        A 1 1 a     A -2a           4
   9:c2     Cs^4    Bn:c2 = B11n        B 1 1 n     B -2bc          4
   9:c3     Cs^4    Ib:c3 = I11b        I 1 1 b     I -2b           4
   9:-c1    Cs^4    Bb:-c1 = B11b       B 1 1 b     B -2b           4
   9:-c2    Cs^4    An:-c2 = A11n       A 1 1 n     A -2ac          4
   9:-c3    Cs^4    Ia:-c3 = I11a       I 1 1 a     I -2a           4
   9:a1     Cs^4    Bb:a1 = Bb11        B b 1 1     B -2xb          4
   9:a2     Cs^4    Cn:a2 = Cn11        C n 1 1     C -2xbc         4
   9:a3     Cs^4    Ic:a3 = Ic11        I c 1 1     I -2xc          4
   9:-a1    Cs^4    Cc:-a1 = Cc11       C c 1 1     C -2xc          4
   9:-a2    Cs^4    Bn:-a2 = Bn11       B n 1 1     B -2xbc         4
   9:-a3    Cs^4    Ib:-a3 = Ib11       I b 1 1     I -2xb          4
  10:b      C2h^1   P2/m:b = P12/m1     P 2/m      -P 2y            4
  10:c      C2h^1   P2/m:c = P112/m     P 1 1 2/m  -P 2             4
  10:a      C2h^1   P2/m:a = P2/m11     P 2/m 1 1  -P 2x            4
  11:b      C2h^2   P21/m:b = P121/m1   P 21/m     -P 2yb           4
  11:c      C2h^2   P21/m:c = P1121/m   P 1 1 21/m -P 2c            4
  11:a      C2h^2   P21/m:a = P21/m11   P 21/m 1 1 -P 2xa           4
  12:b1     C2h^3   C2/m:b1 = C12/m1    C 2/m      -C 2y            8
  12:b2     C2h^3   A2/m:b2 = A12/m1    A 2/m      -A 2y            8
  12:b3     C2h^3   I2/m:b3 = I12/m1    I 2/m      -I 2y            8
  12:c1     C2h^3   A2/m:c1 = A112/m    A 1 1 2/m  -A 2             8
  12:c2     C2h^3   B2/m:c2 = B112/m    B 1 1 2/m  -B 2             8
  12:c3     C2h^3   I2/m:c3 = I112/m    I 1 1 2/m  -I 2             8
  12:a1     C2h^3   B2/m:a1 = B2/m11    B 2/m 1 1  -B 2x            8
  12:a2     C2h^3   C2/m:a2 = C2/m11    C 2/m 1 1  -C 2x            8
  12:a3     C2h^3   I2/m:a3 = I2/m11    I 2/m 1 1  -I 2x            8
  13:b1     C2h^4   P2/c:b1 = P12/c1    P 2/c      -P 2yc           4
  13:b2     C2h^4   P2/n:b2 = P12/n1    P 2/n      -P 2yac          4
  13:b3     C2h^4   P2/a:b3 = P12/a1    P 2/a      -P 2ya           4
